安慰,an1wei4,to comfort;to console;CL:個|个[ge4]
包裹,bao1guo3,wrap up;bind up;bundle;parcel;package;CL:個|个[ge4]
保险,bao3xian3,insurance;to insure;safe;secure;be sure;be bound to;CL:份[fen4]
彼此,bi3ci3,each other;one another
鞭炮,bian1pao4,firecrackers;a string of small firecrackers;CL:枚[mei2]
丙,bing3,third of 10 heavenly stems 十天干;third in order;letter C or roman III in list A, B, C, or I, II, III etc;propyl
不得了,bu4de2liao3,desperately serious;disastrous;extremely;exceedingly
不如,bu4ru2,not equal to;not as good as;inferior to;it would be better to
参考,can1kao3,consultation;reference;to consult;to refer
测验,ce4yan4,test;to test;CL:次[ci4],個|个[ge4]
长途,chang2tu2,long distance
沉默,chen2mo4,silence;uncommunicative
成果,cheng2guo3,result;achievement;gain;profit;CL:個|个[ge4]
吃亏,chi1kui1,to suffer losses;to come to grief;to lose out;to get the worst of it;to be at a disadvantage;unfortunately
重复,chong2fu4,to repeat;to duplicate;CL:個|个[ge4]
出色,chu1se4,remarkable;outstanding
传说,chuan2shuo1,legend;folklore;tradition;it is said;they say that...
刺激,ci4ji1,to provoke;to irritate;to upset;to stimulate;to excite;irritant
促进,cu4jin4,to promote (an idea or cause);to advance;boost
打工,da3gong1,to work (do manual labor for a living);a part time job;to moonlight
贷款,dai4kuan3,a loan;to provide a loan (e.g. bank);CL:筆|笔[bi3]
胆小鬼,dan3xiao3gui3,coward
到达,dao4da2,to reach;to arrive
的确,di2que4,really;indeed
点心,dian3xin,light refreshments;pastry;dimsum (in Cantonese cooking);dessert
逗,dou4,to stay;to stop;to pause (while reading);to tease (play with)
对方,dui4fang1,counterpart;other person involved;opposite side;other side;receiving party
恶劣,e4lie4,vile;nasty;of very poor quality
罚款,fa2kuan3,(impose a) fine;penalty;fine (monetary)
方案,fang1an4,plan;program (for action etc);proposal;proposed bill;CL:個|个[ge4]
废话,fei4hua4,nonsense;rubbish;superfluous words;You don't say!;No kidding! (gently sarcastic)
风格,feng1ge2,style
服从,fu2cong2,to obey (an order);to comply;to defer
改正,gai3zheng4,to correct;to amend;to put right;correction;CL:個|个[ge4]
感想,gan3xiang3,impressions;reflections;thoughts;CL:通[tong4],個|个[ge4]
鸽子,ge1zi,pigeon;dove;various birds of the species Columbidae
更,geng4,even more;furthermore
工人,gong1ren2,worker;CL:個|个[ge4],名[ming2]
姑娘,gu1niang,girl;young woman;young lady;daughter;CL:個|个[ge4]
固体,gu4ti3,solid
观点,guan1dian3,point of view;viewpoint;standpoint;CL:個|个[ge4]
光盘,guang1pan2,compact disc;CD or DVD;CD ROM;CL:片[pian4],張|张[zhang1]
柜台,gui4tai2,sales counter;front desk;bar
过,guo,(experienced action marker);to cross;to go over
合法,he2fa3,lawful;legitimate;legal
横,heng2,horizontal;across;(horizontal character stroke)
胡须,hu2xu1,beard;CL:根[gen1],綹|绺[liu3]
幻想,huan4xiang3,delusion;fantasy
恢复,hui1fu4,to reinstate;to resume;to restore;to recover;to regain;to rehabilitate
激烈,ji1lie4,intense;acute;fierce
记录,ji4lu4,record;CL:個|个[ge4]
家乡,jia1xiang1,hometown;native place;CL:個|个[ge4]
肩膀,jian1bang3,shoulder
简直,jian3zhi2,simply;at all;practically
降落,jiang4luo4,to descend;to land
教材,jiao4cai2,teaching material;CL:本[ben3]
节,jie2,festival;holiday;node;joint;section;segment;part;to economize;to save;to abridge;moral integrity;classifier for segments, e.g. lessons, train wagons, biblical verses;CL:個|个[ge4]
借口,jie4kou3,to use as an excuse;on the pretext
进口,jin4kou3,to import;imported
救,jiu4,to save;to assist;to rescue
俱乐部,ju4le4bu4,club (i.e. a group or organization);CL:個|个[ge4]
军事,jun1shi4,military affairs;military matters;military
抗议,kang4yi4,protest
客观,ke4guan1,objective;impartial
会计,kuai4ji4,accountant;accountancy;accounting
劳驾,lao2jia4,excuse me
类,lei4,kind;type;class;category;similar;like;to resemble
立即,li4ji2,immediately
连续剧,lian2xu4ju4,serialized drama;dramatic series;show in parts
零钱,ling2qian2,change (of money);small change;pocket money
陆地,lu4di4,dry land (as opposed to the sea)
麦克风,mai4ke4feng1,microphone (loanword)
煤炭,mei2tan4,coal
棉花,mian2hua,cotton
名片,ming2pian4,(business) card
模仿,mo2fang3,to imitate;to copy;to emulate;to mimic;model
哪怕,na3pa4,even;even if;even though;no matter how
年纪,nian2ji4,age;CL:把[ba3],個|个[ge4]
拍,pai1,to pat;to clap;to slap;fly-swatter;racket;to take (a photograph)
盆,pen2,basin;flower pot;unit of volume equal to 12 斗 and 8 升, approx 128 liters;CL:個|个[ge4]
片面,pian4mian4,unilateral;one-sided
平衡,ping2heng2,balance;equilibrium
期间,qi1jian1,period of time;time;time period;period;CL:個|个[ge4]
牵,qian1,to pull (an animal on a tether);to lead along;to hold hands
抢,qiang3,fight over;to rush;to scramble;to grab;to rob;to snatch
勤奋,qin2fen4,hardworking;diligent
请求,qing3qiu2,request;CL:個|个[ge4]
权力,quan2li4,(wield) power
热爱,re4ai4,to love ardently;to adore
人员,ren2yuan2,staff;crew;personnel;CL:個|个[ge4]
荣誉,rong2yu4,honor;credit;glory;(honorable) reputation
沙滩,sha1tan1,sand bar;beach;CL:片[pian4]
上,shang4,on;on top;upon;first (of multiple parts);previous;last;upper;higher;above;to climb;to go into;to go up;to attend (class or university)
设施,she4shi1,facilities;installation
升,sheng1,to raise;to hoist;to promote;metric liter (also written 公升);measure for dry grain equal to one-tenth dou 斗
失去,shi1qu4,to lose
石头,shi2tou,stone;CL:塊|块[kuai4]
士兵,shi4bing1,soldier;CL:個|个[ge4]
收据,shou1ju4,receipt;CL:張|张[zhang1]
蔬菜,shu1cai4,vegetables;produce;CL:種|种[zhong3]
数码,shu4ma3,number;numerals;figures;digital;amount;numerical code
丝毫,si1hao2,the slightest amount or degree;a bit
孙子,sun1zi,grandson (paternal)
太极拳,tai4ji2quan2,shadowboxing or Taiji, T'aichi or T'aichichuan;traditional form of physical exercise or relaxation;a martial art
套,tao4,cover;sheath;to encase;a case;to overlap;to interleave;bend (of a river or mountain range, in place names);harness;classifier for sets, collections;tau (Greek letter Ττ)
提问,ti2wen4,to question;to quiz;to grill
调皮,tiao2pi2,naughty;mischievous;unruly
痛苦,tong4ku3,pain;suffering;painful;CL:個|个[ge4]
团,tuan2,regiment;round;circular;group;society
弯,wan1,bend;bent;CL:道[dao4]
微笑,wei1xiao4,smile;CL:個|个[ge4]
委屈,wei3qu1,to feel wronged;to nurse a grievance;to cause sb to feel wronged
温柔,wen1rou2,gentle and soft;tender
卧室,wo4shi4,bedroom;CL:間|间[jian1]
吸收,xi1shou1,to absorb;to assimilate;to ingest
显得,xian3de,to seem;to look;to appear
相对,xiang1dui4,relatively;opposite;to resist;to oppose;relative;vis-a-vis
项目,xiang4mu4,item;project;sports event;CL:個|个[ge4]
小吃,xiao3chi1,snack;refreshments;CL:家[jia1]
欣赏,xin1shang3,to appreciate;to enjoy;to admire
形势,xing2shi4,circumstances;situation;terrain;CL:個|个[ge4]
兄弟,xiong1di4,older and younger brother;brothers;brotherly;fraternal;CL:個|个[ge4]
学期,xue2qi1,term;semester;CL:個|个[ge4]
宴会,yan4hui4,banquet;feast;dinner party;CL:席[xi2],個|个[ge4]
夜,ye4,night
移动,yi2dong4,to move;movement;migration;mobile;portable
义务,yi4wu4,duty;obligation;commitment;volunteer duty;CL:項|项[xiang4];mandatory;voluntary
营业,ying2ye4,to do business;to trade
勇气,yong3qi4,courage;valor
油炸,you2zha2,to deep fry
预订,yu4ding4,to place an order;to book ahead
运气,yun4qi,luck (good or bad)
造成,zao4cheng2,to bring about;to create;to cause
涨,zhang3,to rise (of prices, rivers)
真理,zhen1li3,truth;CL:個|个[ge4]
征求,zheng1qiu2,to solicit;to seek;to request (opinions, feedback etc);to petition
挣钱,zheng4qian2,to make money
指挥,zhi3hui1,to conduct;to command;to direct;conductor (of an orchestra);CL:個|个[ge4]
制作,zhi4zuo4,make;manufacture
竹子,zhu2zi,bamboo;CL:棵[ke1],支[zhi1],根[gen1]
祝福,zhu4fu2,blessings;wish well
状态,zhuang4tai4,state of affairs;state;mode;situation;CL:個|个[ge4]
自从,zi4cong2,since (a time);ever since
综合,zong1he2,comprehensive;composite;synthesized;to sum up;to integrate;to synthesize
组合,zu3he2,to assemble;combination;combinatorial
作为,zuo4wei2,one's conduct;deed;activity;accomplishment;achievement;to act as;as (in the capacity of);qua;to view as;to look upon (sth as);to take sth to be
