凹凸,ao1tu1,bumpy;uneven;slotted and tabbed joint;crenelation
败坏,bai4huai4,to ruin;to corrupt;to undermine
包装,bao1zhuang1,pack;package
抱负,bao4fu4,aspiration;ambition
背诵,bei4song4,recite;repeat from memory
比方,bi3fang,analogy;instance
贬义,bian3yi4,derogatory sense;negative connotation
表决,biao3jue2,decide by vote;vote
剥削,bo1xue1,to exploit;exploitation
不顾,bu4gu4,in spite of;regardless of
不止,bu4zhi3,incessantly;without end;more than;not limited to
残忍,can2ren3,cruel;mean;merciless;ruthless
层出不穷,ceng2chu1bu4qiong2,more and more emerge;innumerable succession;breeding like flies (idiom)
常年,chang2nian2,a whole year;average year
嘲笑,chao2xiao4,jeer;mockery;scoff;sneer;make fun of;laugh at (derogatory)
城堡,cheng2bao3,castle;rook (chess piece)
持久,chi2jiu3,lasting;enduring;persistent;permanent;protracted;endurance;persistence;to last long
抽空,chou1kong4,to find the time to do sth
处置,chu3zhi4,to handle;to take care of;to punish
锤,chui2,hammer;to hammer into shape;weight (e.g. of a steelyard or balance)
脆弱,cui4ruo4,weak;frail
大不了,da4bu4liao3,at worst;if worst comes to worst;serious;alarming
诞辰,dan4chen2,birthday
导航,dao3hang2,navigation
敌视,di2shi4,hostile;malevolence;antagonism;to view as enemy;to stand against
电源,dian4yuan2,electric power source
动荡,dong4dang4,unrest (social or political);turmoil;upheaval;commotion
毒品,du2pin3,drugs;narcotics;poison
对立,dui4li4,to oppose;to set sth against;to be antagonistic to;antithetical;relative opposite;opposing;diametrical
二氧化碳,er4yang3hua4tan4,carbon dioxide CO2
繁忙,fan2mang2,busy;bustling
贩卖,fan4mai4,to sell;to peddle;to traffic
肥沃,fei2wo4,fertile
坟墓,fen2mu4,sepulcher;tomb
风土人情,feng1tu3ren2qing2,local conditions and customs (idiom)
腐蚀,fu3shi2,corrosion;to corrode (degrade chemically);to rot;corruption
改良,gai3liang2,improve
杠杆,gang4gan3,lever;pry bar;crowbar;financial leverage
隔离,ge2li2,to separate;to isolate
工夫,gong1fu,time;skill
公正,gong1zheng4,just;fair;equitable
骨干,gu3gan4,diaphysis (long segment of a bone);fig. backbone
惯例,guan4li4,conventional
国务院,Guo2Wu4Yuan4,State Council (PRC);State Department (USA)
捍卫,han4wei4,defend;uphold;safeguard
和解,he2jie3,to settle (a dispute out of court);to reconcile;settlement;conciliation;to become reconciled
宏伟,hong2wei3,grand;imposing;magnificent
划分,hua4fen1,to divide
恍然大悟,huang3ran2da4wu4,to suddenly realize;to suddenly see the light
混浊,hun4zhuo2,turbid;muddy;dirty
机密,ji1mi4,secret;classified (information)
集团,ji2tuan2,group;bloc;corporation;conglomerate
迹象,ji4xiang4,mark;indication;sign;indicator
坚固,jian1gu4,firm;firmly;hard;stable
鉴别,jian4bie2,to differentiate;to distinguish
奖励,jiang3li4,reward (as encouragement)
阶层,jie1ceng2,hierarchy;stratum
戒备,jie4bei4,to take precautions;to guard against (emergency)
近视,jin4shi4,shortsighted;nearsighted;myopia
惊讶,jing1ya4,amazed;astonished;to surprise;amazing;astonishment;awe
就业,jiu4ye4,looking for employment;getting a job;to start a career
聚精会神,ju4jing1hui4shen2,to concentrate one's attention (idiom)
开展,kai1zhan3,(begin to) develop;unfold;to start;to launch;to open;to carry out
可观,ke3guan1,considerable
恐吓,kong3he4,to threaten;to menace
筐,kuang1,basket;CL:隻|只[zhi1]
狼狈,lang2bei4,in a difficult situation;to cut a sorry figure;scoundrel! (derogatory)
礼节,li3jie2,etiquette
廉洁,lian2jie2,honest;not coercive;honesty;integrity;incorruptible
灵魂,ling2hun2,soul;spirit
流通,liu2tong1,to circulate
屡次,lv3ci4,repeatedly;time and again
慢性,man4xing4,slow and patient;chronic (disease);slow to take effect (e.g. a slow poison)
萌芽,meng2ya2,sprout;germ of a plant
面子,mian4zi,outer surface;outside;honor;reputation;face (as in losing face);self-respect;feelings;(medicinal) powder
膜,mo2,membrane;film
沐浴,mu4yu4,to take a bath;to bathe;to immerse
拧,ning2,to pinch;wring
趴,pa1,to lie on one's stomach
配偶,pei4ou3,consort;mate;spouse
偏偏,pian1pian1,(indicates that sth turns out just the opposite of what one would expect or what would be normal);unfortunately;against expectations
评论,ping2lun4,to comment on;to discuss;comment;commentary;CL: 篇[pian1]
瀑布,pu4bu4,waterfall
起哄,qi3hong4,to heckle;rowdy jeering;to create a disturbance
气压,qi4ya1,atmospheric pressure;barometric pressure
前提,qian2ti2,premise;precondition;prerequisite
氢,qing1,hydrogen (chemistry)
情形,qing2xing2,circumstances;situation;CL:個|个[ge4]
全局,quan2ju2,overall situation
饶恕,rao2shu4,forgiveness;spare
认定,ren4ding4,to maintain (that sth is true);to determine (a fact);determination (of an amount);of the firm opinion;to believe firmly;to set one's mind on;to identify with
弱点,ruo4dian3,weak point;failing
扇子,shan4zi,fan;CL:把[ba3]
设想,she4xiang3,to imagine;to assume;to envisage;tentative plan;to have consideration for
审美,shen3mei3,esthetics;appreciating the arts;taste
省会,sheng3hui4,provincial capital
时而,shi2er2,occasionally;from time to time
是非,shi4fei1,right and wrong;quarrel
适宜,shi4yi2,suitable;appropriate
书记,shu1ji,secretary;clerk;CL:個|个[ge4]
水龙头,shui3long2tou2,faucet;tap
苏醒,su1xing3,to wake up;to regain consciousness
塌,ta1,collapse
掏,tao1,to fish out (from pocket);to scoop
天才,tian1cai2,talent;gift;genius;talented;gifted
挑拨,tiao3bo1,to incite disharmony;to instigate
统统,tong3tong3,totally
推理,tui1li3,reasoning;speculative;inference
外表,wai4biao3,external;outside;outward appearance
往事,wang3shi4,past events;former happenings
委员,wei3yuan2,committee member;committee;council;CL:個|个[ge4]
乌黑,wu1hei1,jet-black;dark
无忧无虑,wu2you1wu2lv4,carefree and without worries (idiom)
昔日,xi1ri4,formerly;in olden days
下属,xia4shu3,subordinate;underling
馅儿,xian4r,stuffing;filling, e.g. in 包子[bao3 zi5] or 饺子[jiao3 zi5]
向往,xiang4wang3,to yearn for;to look forward to
写作,xie3zuo4,writing;written works
心眼儿,xin1yan3r,one's thoughts;mind;intention;willingness to accept new ideas;baseless suspicions
性情,xing4qing2,nature;temperament
虚伪,xu1wei3,false;hypocritical;artificial;sham
学说,xue2shuo1,theory;doctrine
烟花爆竹,yan1hua1bao4zhu2,fireworks and crackers
掩护,yan3hu4,to screen;to shield;to cover;protection;cover;CL:面[mian4]
遥控,yao2kong4,remote control
依据,yi1ju4,according to;basis;foundation
遗失,yi2shi1,to lose;lost
意志,yi4zhi4,will;willpower;determination;CL:個|个[ge4]
盈利,ying2li4,profit;gain
忧郁,you1yu4,sullen;depressed;melancholy;dejected
预料,yu4liao4,to forecast;to anticipate;expectation
元素,yuan2su4,element;element of a set;chemical element
宰,zai3,to slaughter livestock;to govern or rule;to cheat customers;Imperial official in dynastic China
责怪,ze2guai4,to blame;to rebuke
崭新,zhan3xin1,brand new
照料,zhao4liao4,to tend;to take care of sb
振奋,zhen4fen4,to stir oneself up;to raise one's spirits;to inspire
正当,zheng4dang1,honest;reasonable;fair;sensible;timely;just (when needed)
支配,zhi1pei4,to dominate;to allocate
指责,zhi3ze2,to criticize;to find fault with;to denounce
终点,zhong1dian3,the end;end point;finishing line (in a race);destination;terminus;CL:個|个[ge4]
粥,zhou1,porridge (of rice or millet)
主权,zhu3quan2,sovereignty
专题,zhuan1ti2,special topic
准则,zhun3ze2,norm;standard;criterion
自满,zi4man3,complacent;self-satisfied
祖父,zu3fu4,father's father;paternal grandfather
